Status,Population,Family,Ageatmaturity,Finallength,growthrate3mm,Ageatmaturitytimes100,Finallengthtimes100,growthratetimes100,Ageatmaturityboxcox,Finallengthboxcox,growthrate3mmboxcox,ResidualAgeatmaturity,ResidualFinallength
Invasive,Gb,Gb4,179,5.21,.01700934579,17900,521,1.700934579,.279981,521,.53063,1.27357726719831,.50705959829139
Invasive,Gb,Gb4,268,5.55,.01401162791,26800,555,1.401162791,.26567,555,.33647,.0475111666832317,1.21025936445058
Invasive,Gb,Gb4,213,4.89,.01471698113,21300,489,1.471698113,.273723,489,.38526,.827873747200568,.047171113250025
Invasive,Gb,Gb4,215,4.25,.02794871795,21500,425,2.794871795,.27339,425,1.02604,-.165808254664039,-1.44594394799762
Invasive,Gb,Gb4,177,5.17,.0275,17700,517,2.75,.280391,517,1.0116,.597650357197749,.142358779527556
Invasive,Gb,Gb5,161,4.34,.01327102804,16100,434,1.327102804,.283866,434,.28518,2.05236367304156,-.835446535766152
Invasive,Gb,Gb5,191,5.01,.02337349398,19100,501,2.337349398,.27763,501,.85015,.546556904876784,-.0329517936545686
Invasive,Gb,Gb5,140,4.9,.01714285714,14000,490,1.714285714,.28907,490,.53649,2.22792874068528,-.0287413720214088
Invasive,Gb,Gb5, , ,.01568807339, , ,1.568807339, , ,.45108, , 
Invasive,Gb,Gb5,173,4.88,.01510344828,17300,488,1.510344828,.281225,488,.41211,1.58266460712673,.0134777422063522
Invasive,Md,Md1,211,5.2,.01342105263,21100,520,1.342105263,.274059,520,.29267,1.00196211321632,.636353237640817
Invasive,Md,Md1,241,5.22,.01422077922,24100,522,1.422077922,.269363,522,.35066,.417616437442912,.634996279751556
Invasive,Md,Md2,211,4.4,.01879699248,21100,440,1.879699248,.274059,440,.63127,.495528131622983,-.945454965526458
Invasive,Md,Md2,142,4.87,.02604166667,14200,487,2.604166667,.288538,487,.95551,1.54483955660038,-.338145239571645
Invasive,Md,Md2, , ,.02666666667, , ,2.666666667, , ,.98208, , 
Invasive,Md,Md2,137,4.84,.02564102564,13700,484,2.564102564,.289885,484,.94001,1.71075733419856,-.380107863377271
Invasive,Md,Md3,260,4.93,.0137012987,26000,493,1.37012987,.266719,493,.31481,.191064696550341,.159202367017915
Invasive,Md,Md3,189,5.48,.01916666667,18900,548,1.916666667,.27801,548,.65233,.882697123209033,.895678874280616
Invasive,Mr,Mr1,214,4.84,.01278911565,21400,484,1.278911565,.273556,484,.24686,1.01717836510072,.0465166834826583
Invasive,Mr,Mr1, , , , , , , , , , , 
Invasive,Mr,Mr1, , , , , , , , , , , 
Invasive,Mr,Mr1,203,4.57,.01911504425,20300,457,1.911504425,.275439,457,.6471,.618083402842418,-.663349676093197
Invasive,Mr,Mr2,240,4.71,.015625,24000,471,1.5625,.269509,471,.44469,.292449447613412,-.298423254236199
Invasive,Mr,Mr2, , ,.01837837838, , ,1.837837838, , ,.60977, , 
Invasive,Mr,Mr2,179,4.81,.01683823529,17900,481,1.683823529,.279981,481,.51879,1.29128600418019,-.172355257936686
Invasive,Mr,Mr2,214,4.87,.01377245509,21400,487,1.377245509,.273556,487,.32208,.904674041133058,.0517224466686858
Invasive,Mr,Mr3,206,4.42,.01853448276,20600,442,1.853448276,.274914,442,.61519,.610178606292685,-.901222829877647
Invasive,Mr,Mr3,227,4.8,.01224719101,22700,480,1.224719101,.271467,480,.19885,.867624563938836,.00739597407172913
Invasive,Mr,Mr3,225,4.86,.0125,22500,486,1.25,.271779,486,.22314,.864355818500269,.0954511368664621
Invasive,Mr,Mr3, , ,.007822878229, , ,.7822878229, , ,-.24846, , 
Invasive,Mr,Mr3,207,4.52,.01485714286,20700,452,1.485714286,.274741,452,.39878,.915524678302832,-.596349817191669
Invasive,Mr,Mr4,262,4.25,.01427586207,26200,425,1.427586207,.266453,425,.35767,.098773568868579,-1.03457115944569
Invasive,Mr,Mr4,324,4.8,.007879858657,32400,480,.7879858657,.259197,480,-.23572,.217407186710715,.274867992147066
Invasive,Mr,Mr4,212,4.47,.01395833333,21200,447,1.395833333,.27389,447,.33647,.918543662715833,-.643836623458454
Invasive,Mr,Mr4, , , , , , , , , , , 
Invasive,Mr,Mr4,263,4.39,.01018691589,26300,439,1.018691589,.266321,439,.0198,.590128327956106,-.58627092078476
Invasive,Mr,Mr5,275,4.37,.02044247788,27500,437,2.044247788,.264781,437,.71295,-.609781714090391,-1.04723057853189
Invasive,Mr,Mr5, , , , , , , , , , , 
Invasive,Mr,Mr5,254,4.84,.01424836601,25400,484,1.424836601,.267529,484,.35066,.223276583705224,-.0173708271053252
Invasive,Mr,Mr5,229,4.52,.01442176871,22900,452,1.442176871,.271157,452,.36464,.586808218688938,-.575337104171691
Invasive,Mr,Mr5,270,4.68,.01220930233,27000,468,1.220930233,.265413,468,.19885,.22611230956154,-.198614691251496
Invasive,PA,PA1,165,4.71,.02148148148,16500,471,2.148148148,.282961,471,.76547,1.23810981252073,-.49585905044442
Invasive,PA,PA1, , , , , , , , , , , 
Invasive,PA,PA1, , , , , , , , , , , 
Invasive,PA,PA1,165,5.32,.01829059829,16500,532,1.829059829,.282961,532,.60432,1.47913708993882,.650547499546461
Invasive,PA,PA1,151,5.24,.02111111111,15100,524,2.111111111,.286242,524,.74669,1.61386974499991,.425580226687324
Invasive,PA,PA2,202,5.14,.01601503759,20200,514,1.601503759,.275616,514,.47,.901722431615185,.424203663624994
Invasive,PA,PA2,195,4.73,.01841269841,19500,473,1.841269841,.276882,473,.60977,.82682430654038,-.36569267367524
Invasive,PA,PA2,205,5.3,.01796992481,20500,530,1.796992481,.275088,530,.58779,.669597888119947,.626386382397401
Invasive,PA,PA2,178,4.94,.02024590164,17800,494,2.024590164,.280185,494,.7031,1.03723586624704,-.0626173750934734
Invasive,PA,PA2,111,4.9,.01785123967,11100,490,1.785123967,.297926,490,.58222,3.09795798663356,-.0568875749037642
Invasive,PA,PA3,154,5.8,.0220754717,15400,580,2.20754717,.285511,580,.79299,1.46715977521371,1.35846630127641
Invasive,PA,PA3,226,5.25,.01609929078,22600,525,1.609929078,.271623,525,.47623,.469286065088696,.609212291896109
Invasive,PA,PA3,340,4.7,.01411764706,34000,470,1.411764706,.257577,470,.34359,-.820712944235423,-.253365112951043
Invasive,PA,PA3,315,4.23,.01043290043,31500,423,1.043290043,.260147,423,.03922,-.0931456475421052,-.872904557936523
Invasive,PA,PA3, , , , , , , , , , , 
Invasive,PA,PA5, , , , , , , , , , , 
Invasive,PA,PA5,180,5.25,.01910569106,18000,525,1.910569106,.279779,525,.6471,1.07797160634382,.504044094071748
Invasive,PA,PA5,171,5.37,.02397959184,17100,537,2.397959184,.28165,537,.87547,.934665927403732,.569496081235265
Invasive,PA,PA5,165,4.71,.02018691589,16500,471,2.018691589,.282961,471,.7031,1.33139477244978,-.457471150296322
Invasive,PA,PA5,172,5.49,.02059405941,17200,549,2.059405941,.281437,549,.72271,1.1405739804788,.869528481793753
Invasive,Pc,Pc2,206,3.8,.01554140127,20600,380,1.554140127,.274914,380,.43825,.874822518587798,-1.85670706580643
Invasive,Pc,Pc2,177,4.89,.01889908257,17700,489,1.889908257,.280391,489,.63658,1.1585566530546,-.107512982713096
Invasive,Pc,Pc2,175,4.81,.02306122449,17500,481,2.306122449,.280805,481,.83725,.90229000315125,-.368363125199203
Invasive,Pc,Pc3,168,3.76,.01971428571,16800,376,1.971428571,.282299,376,.67803,1.29874238241695,-2.07295866801231
Invasive,Pc,Pc3,152,5.02,.02417582418,15200,502,2.417582418,.285996,502,.88377,1.38277585711666,-.0364768981913906
Invasive,Pc,Pc3,141,5.14,.02357894737,14100,514,2.357894737,.288803,514,.85866,1.71777596162753,.184988636022628
Invasive,Pc,Pc3,162,5.77, ,16200,577, ,.283637,577, , , 
Invasive,Pc,Pc5, , , , , , , , , , , 
Invasive,Pc,Pc5,156,4,.01990909091,15600,400,1.990909091,.285032,400,.68813,1.57323852202689,-1.66715375217259
Invasive,Pc,Pc5,151,4.3,.02181818182,15100,430,2.181818182,.286242,430,.77932,1.56506602137502,-1.20825331324332
Invasive,Pc,Pc5, , , , , , , , , , , 
Invasive,Pc,Pc5, , , , , , , , , , , 
Invasive,Pc,Pc6,186,4.86,.025,18600,486,2.5,.278589,486,.91629,.549253725586642,-.331173409993468
Invasive,Pc,Pc6,219,3.87, ,21900,387, ,.272736,387, , , 
Invasive,Pc,Pc6,281, ,.009162995595,28100, ,.9162995595,.264039, ,-.08338,.502639410577531, 
Invasive,Pc,Pc6,192,4.34,.01676767677,19200,434,1.676767677,.277441,434,.51879,1.02213484360564,-.979230363785986
Invasive,Sn,Sn1,263,4.51,.01440993789,26300,451,1.440993789,.266321,451,.36464,.0743613633588092,-.592504659615293
Invasive,Sn,Sn1,163,4.35,.01804347826,16300,435,1.804347826,.28341,435,.58779,1.55143881658507,-1.0045313847448
Invasive,Sn,Sn1,203,3.74,.01804511278,20300,374,1.804511278,.275439,374,.58779,.706791611490681,-2.05175226680453
Invasive,Sn,Sn1,148,4.62,.01870967742,14800,462,1.870967742,.286989,462,.62594,1.87362781296339,-.564488202111778
Invasive,Sn,Sn1,205,4.06,.01522580645,20500,406,1.522580645,.275088,406,.41871,.922485831438906,-1.39832401582491
Invasive,Sn,Sn2,186,3.91,.01284722222,18600,391,1.284722222,.278589,391,.24686,1.55050033012895,-1.55006597277234
Invasive,Sn,Sn2,179,4.24,.01571428571,17900,424,1.571428571,.279981,424,.45108,1.39255784379532,-1.10923131955233
Invasive,Sn,Sn2,271,4.56,.009122807018,27100,456,.9122807018,.265286,456,-.09431,.651125472276763,-.224189300659759
Invasive,Sn,Sn3,224,4.76, ,22400,476, ,.271937,476, , , 
Invasive,Sn,Sn4,137, ,.01715328467,13700, ,1.715328467,.289885, ,.54232,2.30557047696245, 
Invasive,Sn,Sn4,256,4.54,.01074766355,25600,454,1.074766355,.267257,454,.06766,.617728807173945,-.358214778502027
Invasive,Sn,Sn5,165, ,.01490909091,16500, ,1.490909091,.282961, ,.39878,1.78655717433543, 
Invasive,Sn,Sn5,191,3.73,.02131578947,19100,373,2.131578947,.27763,373,.75612,.687194788188125,-2.17252468407159
Invasive,Sn,Sn5, , ,.007886435331, , ,.7886435331, , ,-.23572, , 
Invasive,Sn,Sn5,273,3.71,.009060150376,27300,371,.9060150376,.265032,371,-.09431,.624210356219304,-1.68343151336594
Invasive,Sn,Sn5, , , , , , , , , , , 
Native,RotoroaS, , , , , , , , , , , , 
Native,AlexIsoe,AI1, , , , , , , , , , , 
Native,AlexIsoe,AI1, , , , , , , , , , , 
Native,AlexIsoe,AI1,201,4.351,.028302,20100,435.1,2.8302,.275794,435.1,1.04028,.0676333168375867,-1.28131616740812
Native,AlexIsoe,AI1,215, ,.022388,21500, ,2.2388,.27339, ,.80648,.162581128084435, 
Native,AlexIsoe,AI1,220,5.074,.020548,22000,507.4,2.0548,.272574,507.4,.71784,.208689888731862,.158355595152655
Native,AlexIsoe,AI1,313,4.629, ,31300,462.9, ,.260363,462.9, , , 
Native,AlexIsoe,AI1,416,4.886,.008772,41600,488.6,.8772,.25091,488.6,-.12783,-.822092840326404,.356104118120642
Native,AlexIsoe,AI10, , ,.012097, , ,1.2097, , ,.19062, , 
Native,AlexIsoe,AI10, , , , , , , , , , , 
Native,AlexIsoe,AI10, , , , , , , , , , , 
Native,AlexIsoe,AI10, , , , , , , , , , , 
Native,AlexIsoe,AI10, , , , , , , , , , , 
Native,AlexIsoe,AI10, , , , , , , , , , , 
Native,AlexIsoe,AI10, , , , , , , , , , , 
Native,AlexIsoe,AI10, , , , , , , , , , , 
Native,AlexIsoe,AI10,350,5.586,.015873,35000,558.6,1.5873,.256609,558.6,.46373,-1.10297692355391,1.19373573748274
Native,AlexIsoe,AI12, , ,.022388, , ,2.2388, , ,.80648, , 
Native,AlexIsoe,AI12, , ,.020548, , ,2.0548, , ,.71784, , 
Native,AlexIsoe,AI12, , , , , , , , , , , 
Native,AlexIsoe,AI12, , ,.008772, , ,.8772, , ,-.12783, , 
Native,AlexIsoe,AI12, , ,.012, , ,1.2, , ,.18232, , 
Native,AlexIsoe,AI12, , , , , , , , , , , 
Native,AlexIsoe,AI12, , , , , , , , , , , 
Native,AlexIsoe,AI12,166,5.092,.030928,16600,509.2,3.0928,.282739,509.2,1.12817,.672105940120976,-.0632954275880439
Native,AlexIsoe,AI17, , , , , , , , , , , 
Native,AlexIsoe,AI17, , , , , , , , , , , 
Native,AlexIsoe,AI17, , , , , , , , , , , 
Native,AlexIsoe,AI17, , , , , , , , , , , 
Native,AlexIsoe,AI17, , , , , , , , , , , 
Native,AlexIsoe,AI17,430,6.033,.012448,43000,603.3,1.2448,.249833,603.3,.21511,-1.44914236193719,2.11414774791565
Native,AlexIsoe,AI18, , , , , , , , , , , 
Native,AlexIsoe,AI18, , , , , , , , , , , 
Native,AlexIsoe,AI18, , , , , , , , , , , 
Native,AlexIsoe,AI18,250,5.37,.032609,25000,537,3.2609,.268082,537,1.18173,-.961131518540164,.380997150669987
Native,AlexIsoe,AI18,315,5.202,.022388,31500,520.2,2.2388,.260147,520.2,.80648,-1.24071368273792,.323543571319021
Native,AlexIsoe,AI18,329,4.786,.011029,32900,478.6,1.1029,.258681,478.6,.09531,-.332382522614598,.0470888805188925
Native,AlexIsoe,AI19, , , , , , , , , , , 
Native,AlexIsoe,AI19, , , , , , , , , , , 
Native,AlexIsoe,AI19, , ,.013216, , ,1.3216, , ,.27763, , 
Native,AlexIsoe,AI19, , , , , , , , , , , 
Native,AlexIsoe,AI19, , ,.023077, , ,2.3077, , ,.83725, , 
Native,AlexIsoe,AI19,184,4.603,.032609,18400,460.3,3.2609,.27898,460.3,1.18173,.193675311358047,-.935754351854296
Native,AlexIsoe,AI19,243,4.995,.019608,24300,499.5,1.9608,.269074,499.5,.67294,-.0950320958783545,.0503672561404954
Native,AlexIsoe,AI19,270,4.014,.019108,27000,401.4,1.9108,.265413,401.4,.6471,-.444321926260117,-1.61786575875748
Native,AlexIsoe,AI19,493,3.959,.006865,49300,395.9,.6865,.245431,395.9,-.37106,-1.03888330598226,-1.08562346224968
Native,AlexIsoe,AI3, , ,.012, , ,1.2, , ,.18232, , 
Native,AlexIsoe,AI3, , , , , , , , , , , 
Native,AlexIsoe,AI3, , , , , , , , , , , 
Native,AlexIsoe,AI3, , ,.016393, , ,1.6393, , ,.4947, , 
Native,AlexIsoe,AI3, , , , , , , , , , , 
Native,AlexIsoe,AI3, , , , , , , , , , , 
Native,AlexIsoe,AI3, , , , , , , , , , , 
Native,AlexIsoe,AI3, , , , , , , , , , , 
Native,AlexIsoe,AI4, , , , , , , , , , , 
Native,AlexIsoe,AI4, , , , , , , , , , , 
Native,AlexIsoe,AI4, , , , , , , , , , , 
Native,AlexIsoe,AI4, , , , , , , , , , , 
Native,AlexIsoe,AI4, , , , , , , , , , , 
Native,AlexIsoe,AI4,257,4.249,.017751,25700,424.9,1.7751,.267121,424.9,.57661,-.157903862330277,-1.17104255437476
Native,AlexIsoe,AI4,359,4.539,.010417,35900,453.9,1.0417,.255763,453.9,.03922,-.557696312092825,-.342427094729218
Native,AlexIsoe,AI4,526,5.335,.006579,52600,533.5,.6579,.243373,533.5,-.41552,-1.19046182115871,1.30399670167187
Native,AlexIsoe,AI6, , , , , , , , , , , 
Native,AlexIsoe,AI6, , , , , , , , , , , 
Native,AlexIsoe,AI6, , ,.013216, , ,1.3216, , ,.27763, , 
Native,AlexIsoe,AI6, , , , , , , , , , , 
Native,AlexIsoe,AI6,212,3.998,.023077,21200,399.8,2.3077,.27389,399.8,.83725,.169541863240613,-1.7623686272197
Native,AlexIsoe,AI6,241,4.957,.015957,24100,495.7,1.5957,.269363,495.7,.47,.239123137492087,.110037399007075
Native,AlexIsoe,AI6,285,5.308,.017241,28500,530.8,1.7241,.263554,530.8,.54232,-.484594565985771,.66810660311486
Native,AlexIsoe,AI6,310,4.677, ,31000,467.7, ,.260689,467.7, , , 
Native,AlexIsoe,AI7, , , , , , , , , , , 
Native,AlexIsoe,AI7, , , , , , , , , , , 
Native,AlexIsoe,AI7,380,5.076,.021583,38000,507.6,2.1583,.25388,507.6,.77011,-1.85039895644903,.129617620900009
Native,AlexShal,AS21,163,4.413,.0375,16300,441.3,3.75,.28341,441.3,1.32176,.453661647447268,-1.34812449591506
Native,AlexShal,AS21,221,4.875,.02459,22100,487.5,2.459,.272414,487.5,.90016,-.0809551338791868,-.295494277735732
Native,AlexShal,AS21,226,4.566,.02459,22600,456.6,2.459,.271623,456.6,.90016,-.16477346774315,-.825971740943037
Native,AlexShal,AS21,231,4.651, ,23100,465.1, ,.270851,465.1, , , 
Native,AlexShal,AS21,235,3.969, ,23500,396.9, ,.270247,396.9, , , 
Native,AlexShal,AS21,242,4.851,.017544,24200,485.1,1.7544,.269218,485.1,.55962,.0897162319803589,-.127098599089087
Native,AlexShal,AS21,332,5.239, ,33200,523.9, ,.258376,523.9, , , 
Native,AlexShal,AS21,345,4.496, ,34500,449.6, ,.257089,449.6, , , 
Native,AlexShal,AS21,450,4.878,.007353,45000,487.8,.7353,.24836,487.8,-.30111,-.833133892337039,.449021594331133
Native,AlexShal,AS26, , , , , , , , , , , 
Native,AlexShal,AS26, , ,.015873, , ,1.5873, , ,.46373, , 
Native,AlexShal,AS26, , , , , , , , , , , 
Native,AlexShal,AS26,117,5.083,.031915,11700,508.3,3.1915,.295894,508.3,1.16002,2.01843872809527,-.098349476159995
Native,AlexShal,AS26,135,5.197,.02459,13500,519.7,2.459,.29044,519.7,.90016,1.82917038600933,.257301007548257
Native,AlexShal,AS26,180, ,.028302,18000, ,2.8302,.279779, ,1.04028,.489903936872858, 
Native,AlexShal,AS26,205, ,.027778,20500, ,2.7778,.275088, ,1.02245,.0194898123982737, 
Native,AlexShal,AS26,217,4.272, ,21700,427.2, ,.273061,427.2, , , 
Native,AlexShal,AS27, , , , , , , , , , , 
Native,AlexShal,AS27, , ,.030928, , ,3.0928, , ,1.12817, , 
Native,AlexShal,AS27, , ,.015707, , ,1.5707, , ,.45108, , 
Native,AlexShal,AS27, , , , , , , , , , , 
Native,AlexShal,AS27,154,5.14, ,15400,514, ,.285511,514, , , 
Native,AlexShal,AS27,242,5.147,.02,24200,514.7,2,.269218,514.7,.69315,-.110000630282367,.298875114403642
Native,AlexShal,AS27,308,5.282,.023256,30800,528.2,2.3256,.260909,528.2,.84587,-1.21888278977808,.436639997121589
Native,AlexShal,AS27,336,5.36,.01145,33600,536,1.145,.257974,536,.13976,-.473782341675027,1.00514818296589
Native,AlexShal,AS32, , , , , , , , , , , 
Native,AlexShal,AS32, , , , , , , , , , , 
Native,AlexShal,AS32,159,5.6,.043478,15900,560,4.3478,.284327,560,1.47018,.328844180494246,.598313811912297
Native,AlexShal,AS32,187,5.264,.028302,18700,526.4,2.8302,.278394,526.4,1.04028,.343142378843031,.286081644592758
Native,AlexShal,AS32,252, ,.026087,25200, ,2.6087,.267805, ,.95935,-.657876657001631, 
Native,AlexShal,AS32,259,5.992,.024,25900,599.2,2.4,.266852,599.2,.87547,-.633404495502649,1.63731802982732
Native,AlexShal,AS32,271,5.259, ,27100,525.9, ,.265286,525.9, , , 
Native,AlexShal,AS32,294,5.177, ,29400,517.7, ,.262491,517.7, , , 
Native,AlexShal,AS35, , , , , , , , , , , 
Native,AlexShal,AS35, , , , , , , , , , , 
Native,AlexShal,AS35, , , , , , , , , , , 
Native,AlexShal,AS35, , ,.032609, , ,3.2609, , ,1.18173, , 
Native,AlexShal,AS35, , ,.019608, , ,1.9608, , ,.67294, , 
Native,AlexShal,AS35, , ,.019108, , ,1.9108, , ,.6471, , 
Native,AlexShal,AS35, , ,.006865, , ,.6865, , ,-.37106, , 
Native,AlexShal,AS35,184, ,.019108,18400, ,1.9108,.27898, ,.6471,.993305552289067, 
Native,AlexShal,AS36, , ,.02459, , ,2.459, , ,.90016, , 
Native,AlexShal,AS36, , ,.02459, , ,2.459, , ,.90016, , 
Native,AlexShal,AS36, , , , , , , , , , , 
Native,AlexShal,AS36, , , , , , , , , , , 
Native,AlexShal,AS36,185,5.085,.027027,18500,508.5,2.7027,.278784,508.5,.99325,.454810114854819,.00772873763352248
Native,AlexShal,AS36,379,4.874,.025424,37900,487.4,2.5424,.253967,487.4,.93216,-2.0835533801102,-.316906604944982
Native,AlexShal,AS39, , , , , , , , , , , 
Native,AlexShal,AS39,144,5.94,.007353,14400,594,.7353,.288014,594,-.30111,3.3688031633414,2.27221598244168
Native,AlexShal,AS39,154,5.512,.035294,15400,551.2,3.5294,.285511,551.2,1.2613,.766722392106873,.575802168051162
Native,AlexShal,AS39,156, , ,15600, , ,.285032, , , , 
Native,AlexShal,AS39,196,5.627, ,19600,562.7, ,.276698,562.7, , , 
Native,AlexShal,AS39,200,4.07,.031915,20000,407,3.1915,.275973,407,1.16002,-.092490511985675,-1.83742284259689
Native,AlexShal,AS39,213, ,.02459,21300, ,2.459,.273723, ,.90016,.0577530823381707, 
Native,AlexShal,AS39,275,6.113,.035294,27500,611.3,3.5294,.264781,611.3,1.2613,-1.42993255226732,1.60757225021165
Native,AlexShal,AS39,296,4.121,.015228,29600,412.1,1.5228,.26226,412.1,.41871,-.436833494486423,-1.29360192761893
Native,Clearwat,CW1-146, , , , , , , , , , , 
Native,Clearwat,CW1-146, , , , , , , , , , , 
Native,Clearwat,CW1-146, , , , , , , , , , , 
